left,right,midline
751,752,748
753,752,750
752,753,750
751,751,749
752,752,749
751,752,749
751,752,750
751,751,748
752,752,749
752,752,750
752,752,750
752,752,749
751,751,749
751,751,749
751,751,750
751,751,750
751,752,750
751,754,749
751,745,750
752,740,750
752,740,751
752,735,750
751,736,750
751,733,751
751,733,751
751,732,751
752,733,751
751,733,752
751,733,752
751,735,752
751,735,752
751,738,752
752,738,752
751,740,752
751,740,752
751,743,752
760,743,751
760,747,751
769,747,751
769,750,751
774,749,751
775,752,752
778,752,751
778,754,752
779,754,751
779,756,751
779,756,751
779,757,751
776,757,751
777,757,752
772,757,751
773,757,751
768,757,751
768,757,751
763,756,751
763,756,751
759,756,751
758,755,751
754,755,751
754,753,751
751,754,751
750,752,751
747,752,751
747,751,751
745,751,752
745,751,751
743,751,751
743,751,751
743,751,751
743,751,751
743,752,750
743,751,751
744,751,749
744,751,749
745,751,749
747,751,749
747,752,749
748,751,748
748,751,748
750,751,749
750,751,748
751,750,749
752,751,749
751,751,748
751,751,749
751,751,749
751,751,749
752,752,749
751,751,750
751,751,751
751,751,750
751,751,751
751,751,751
751,751,751
751,751,751
751,751,751
752,752,752
751,751,751
752,752,751
751,746,752
751,745,752
751,740,753
751,740,752
751,735,751
751,736,752
751,733,752
751,733,751
751,732,751
751,732,751
751,733,751
752,733,751
752,735,752
751,735,751
759,737,751
759,737,751
767,741,751
767,740,751
772,743,751
772,743,751
775,747,751
775,746,751
776,749,748
777,749,751
776,752,751
777,753,751
773,754,751
774,755,751
771,756,751
771,756,751
766,757,751
767,757,751
762,757,751
762,758,751
758,757,751
758,757,751
754,757,751
753,757,753
751,755,751
750,756,751
748,755,751
747,755,751
745,753,751
745,753,751
744,753,751
744,752,751
743,751,751
744,751,751
744,751,751
744,751,751
744,751,751
745,751,751
746,751,751
743,751,751
747,751,751
749,751,751
748,751,751
750,751,751
750,751,751
751,751,750
751,751,750
752,752,750
751,751,749
751,751,749
751,751,749
751,751,749
752,751,748
751,751,748
751,751,749
751,751,748
751,751,748
751,751,749
751,752,749
751,751,749
751,751,749
751,751,749
751,752,750
752,751,750
751,752,750
751,751,750
751,751,751
751,751,751
751,751,750
751,752,751
751,751,751
751,751,751
751,745,751
751,745,751
752,738,751
752,739,753
751,733,752
760,734,751
760,730,752
768,731,753
769,730,752
774,730,752
775,730,752
778,730,752
778,732,751
779,732,751
779,735,751
779,735,751
778,738,751
776,738,751
776,742,751
773,742,751
772,746,751
767,746,752
768,749,751
763,749,753
763,752,751
758,752,752
758,755,751
754,755,751
753,756,751
750,756,751
750,758,751
747,758,751
747,758,751
745,758,751
745,758,751
744,758,751
743,757,751
743,757,751
743,756,752
743,757,751
745,755,751
745,754,751
745,754,751
745,752,751
746,753,751
746,751,751
748,751,751
749,751,751
750,751,751
749,751,751
751,751,750
751,751,750
751,751,749
751,752,750
752,752,749
751,751,749
751,751,749
751,748,748
752,751,748
751,751,748
751,751,749
751,749,748
751,751,748
751,751,748
751,751,749
751,751,749
751,751,749
752,752,750
751,751,750
752,751,749
751,751,750
752,752,751
751,751,751
751,751,751
751,751,751
752,751,751
751,750,751
751,751,752
751,751,751
751,751,751
751,751,751
751,752,752
761,751,752
760,751,752
770,751,752
770,751,754
777,751,752
777,751,752
780,751,752
781,751,751
781,751,751
782,753,751
781,751,751
781,751,751
778,751,751
779,753,751
775,751,751
774,751,751
770,752,751
769,751,751
764,751,751
765,751,751
759,751,751
759,751,751
754,751,751
754,751,751
750,751,751
750,751,751
747,751,751
747,752,751
744,754,751
744,751,751
743,751,751
743,751,751
742,753,751
742,751,751
742,751,751
743,751,751
743,752,752
745,751,751
744,751,751
746,751,751
746,751,751
748,751,751
748,751,751
749,751,751
749,751,751
751,751,749
751,751,749
749,753,747
752,751,748
751,752,747
751,751,746
751,751,746
751,751,746
751,751,746
752,751,746
751,752,745
751,751,745
751,751,747
751,751,747
751,751,747
751,751,747
751,751,748
751,751,748
751,751,748
751,751,748
751,751,750
751,750,749
751,751,750
751,751,750
751,751,751
751,751,751
751,751,752
751,752,752
751,751,752
751,751,753
751,751,753
752,751,753
760,751,753
760,751,753
769,751,752
769,751,752
775,749,752
774,751,752
778,751,752
778,751,752
779,752,753
779,751,751
779,751,751
778,751,751
776,751,751
776,751,751
772,751,751
772,751,752
768,751,751
767,751,751
763,751,751
763,751,752
758,751,751
758,751,751
754,751,751
754,751,751
750,751,751
750,751,751
747,751,751
747,751,752
744,751,751
745,751,751
743,751,751
744,751,751
743,751,751
743,751,751
743,752,751
745,751,751
745,751,752
745,751,751
745,750,751
747,751,751
747,752,752
748,751,751
748,753,751
750,751,751
749,751,751
751,751,749
751,751,749
749,751,747
751,751,748
752,751,746
751,751,746
751,752,746
751,751,746
751,751,745
751,746,746
752,747,746
751,741,746
751,741,746
751,738,746
751,738,747
752,736,747
751,735,747
751,735,748
751,735,749
751,735,749
751,735,750
751,736,750
751,737,751
751,739,750
751,739,751
751,741,751
751,742,752
752,745,752
751,744,752
751,747,752
751,747,753
751,749,752
640,749,753
640,752,751
527,752,753
527,754,752
446,754,752
446,755,752
397,755,752
397,756,752
380,758,752
379,756,751
390,757,752
390,756,751
422,755,751
422,756,751
470,755,751
471,754,751
530,754,751
530,754,751
594,753,751
594,753,751
657,752,751
657,752,751
717,751,751
717,752,749
768,751,751
768,751,751
809,751,751
810,751,751
839,751,751
839,751,751
858,752,751
858,751,751
865,751,751
863,751,751
863,751,751
853,751,751
853,751,751
836,751,751
836,751,751
816,751,751
816,749,751
793,752,751
794,751,751
772,751,751
771,751,751
751,751,749
751,751,750
751,752,747
751,751,748
751,751,746
752,751,746
751,751,746
751,751,746
751,751,746
751,751,746
752,751,745
751,751,746
751,751,746
751,752,746
751,752,748
751,751,747
752,751,748
751,751,747
751,751,749
751,751,749
751,751,749
751,751,750
751,751,750
751,751,751
751,752,751
751,751,751
751,751,752
751,744,752
751,745,753
752,738,753
751,738,753
751,733,753
641,733,753
641,731,752
528,730,753
529,729,753
448,729,753
448,730,752
400,730,752
400,732,752
383,732,752
383,735,751
393,735,752
392,738,751
425,738,751
425,742,751
473,742,751
473,746,751
531,746,751
532,749,750
595,749,751
594,752,751
658,752,751
658,754,750
716,754,751
717,756,751
767,756,751
767,757,751
809,758,751
809,758,751
839,758,751
839,758,751
857,757,752
857,757,751
864,756,751
,756,752
,755,752
,755,752
,753,752
,754,751
,752,751
,752,752
,751,751
,751,751
,753,751
,751,752
,751,751
,751,750
,752,751
,751,750
,751,750
,751,749
,751,749
,751,748
,751,749
,751,748
,752,749
,751,749
,751,749
,751,748
,751,748
,751,749
,751,749
,751,750
,751,749
,751,750
,751,750
,752,751
,751,751
,751,751
,751,751
,751,751
,751,751
,751,752
,744,751
,743,752
,737,752
,737,752
,731,752
,731,752
,729,752
,728,752
,727,752
,727,751
,728,751
,727,751
,729,
,729,
,732,
,733,
,737,
,737,
,741,
,741,
,745,
,745,
,748,
,749,
,752,
,753,
,755,
,755,
,757,
,757,
,759,
,759,
,759,
,759,
,758,
,757,
,758,
,757,
,758,
,756,
,756,
,754,
,754,
,753,
,752,
,751,
,751,
,753,
,751,
,751,
,751,
,751,
,751,
,752,
,751,
,752,
,751,
,751,
,751,
,751,
,752,
,752,
,751,
,751,
,751,
,751,
,752,
,751,
,751,
,752,
,752,
,751,
,751,
,751,
,751,
,751,
,751,
,744,
,744,
,736,
,737,
,731,
,731,
,728,
,728,
,727,
,727,
,727,
,728,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,7,